SOBREMESA  |  CARTA GANTT · 3 SEMANAS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"15 días hábiles · fases, responsables, entregables y horas editables por diseñadora",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SEMANA 1 · DESCUBRIMIENTO,,,,,SEMANA 2 · DISEÑO Y PROTOTIPO,,,,,SEMANA 3 · VALIDACIÓN Y CIERRE,,,,
ID,Fase,Actividad,Inicio,Fin,Responsable,Entregable,Horas D1,Horas D2,Horas D3,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15
01,Descubrimiento,Revisión crítica de ficha y definición de alcance,1,1,Equipo completo,Alcance y supuestos validados,4,3,3,,,,,,,,,,,,,,,
02,Descubrimiento,"Limpieza, auditoría y análisis del dataset",1,2,Diseñadora 1,Datasheet y hallazgos verificables,6,3,2,,,,,,,,,,,,,,,
03,Descubrimiento,Benchmark y mapa de alternativas,2,3,Diseñadora 2,Matriz comparativa y diferenciación,3,5,3,,,,,,,,,,,,,,,
04,Descubrimiento,Segmentación y priorización de escenario inicial,2,3,Diseñadora 1,Usuario primario y contexto de mesa,4,3,3,,,,,,,,,,,,,,,
05,Descubrimiento,"Hipótesis, métricas y protocolo de validación",3,4,Diseñadora 1,Hipótesis y protocolo observacional,5,2,3,,,,,,,,,,,,,,,
06,Arquitectura,"Criterios de seguridad, exclusión y consentimiento",3,4,Diseñadora 3,Política de temas y manejo de menores,3,3,5,,,,,,,,,,,,,,,
07,Arquitectura,"Mapa del journey antes, durante y después de la mesa",4,5,Diseñadora 2,Journey presencial y puntos de fricción,3,5,3,,,,,,,,,,,,,,,
08,Arquitectura,System prompt y reglas de clasificación contextual,4,6,Diseñadora 3,"Prompt, reglas y ejemplos curados",3,3,6,,,,,,,,,,,,,,,
09,Arquitectura,Arquitectura de información y flujo MVP,5,6,Diseñadora 2,Mapa de pantallas y flujo principal,4,5,2,,,,,,,,,,,,,,,
10,Contenido,Taxonomía temática y niveles de profundidad,5,7,Diseñadora 3,"Matriz de temas, vínculo y edad",3,3,6,,,,,,,,,,,,,,,
11,Contenido,Biblioteca curada inicial de detonadores,6,8,Diseñadora 3,Banco inicial y variantes seguras,2,4,7,,,,,,,,,,,,,,,
12,Diseño UX/UI,Wireframes mobile-first y modo mesa compartida,6,8,Diseñadora 2,Wireframes del recorrido prioritario,3,8,3,,,,,,,,,,,,,,,
13,Diseño UX/UI,Sistema visual accesible y baja estimulación,7,9,Diseñadora 2,"Color, tipografía y componentes",2,8,4,,,,,,,,,,,,,,,
14,Diseño UX/UI,Prototipo navegable de alta fidelidad,8,11,Diseñadora 2,"Prototipo de inicio, sesión y cierre",4,9,5,,,,,,,,,,,,,,,
15,IA y factibilidad,Arquitectura conceptual del agente y fallback,8,10,Diseñadora 1,Diagrama lógico y fallback sin IA,5,2,5,,,,,,,,,,,,,,,
16,IA y factibilidad,Casos de uso y escenarios de fallo / abuso,9,10,Diseñadora 3,Matriz de casos y respuestas seguras,4,2,5,,,,,,,,,,,,,,,
17,Validación,Preparación de test contextual y reclutamiento,10,11,Diseñadora 1,"Guion, consentimiento y escenarios",5,3,3,,,,,,,,,,,,,,,
18,Validación,Pruebas moderadas con escenarios de mesa,11,12,Equipo completo,Observaciones y fricciones registradas,6,5,5,,,,,,,,,,,,,,,
19,Validación,Análisis de resultados y priorización de ajustes,12,13,Diseñadora 1,Hallazgos priorizados por impacto,5,4,4,,,,,,,,,,,,,,,
20,Iteración,Iteración de interfaz y sistema visual,13,14,Diseñadora 2,Prototipo corregido y accesible,2,7,3,,,,,,,,,,,,,,,
21,Iteración,"Iteración de prompts, temas y salvaguardas",13,14,Diseñadora 3,Prompt y contenidos depurados,3,2,6,,,,,,,,,,,,,,,
22,Cierre,Video conceptual / relato de funcionamiento,14,15,Diseñadora 2,Pieza conceptual o storyboard,2,5,4,,,,,,,,,,,,,,,
23,Cierre,"Documentación, costos y roadmap de evolución",14,15,Diseñadora 1,Dossier y presupuesto parametrizable,6,3,3,,,,,,,,,,,,,,,
24,Cierre,"QA final, presentación y entrega integrada",15,15,Equipo completo,Entrega final revisada,4,4,4,,,,,,,,,,,,,,,
TOTAL HORAS ESTIMADAS POR DISEÑADORA,,,,,,,91,101,97,,,,,,,,,,,,,,,
