Sobremesa — Carta Gantt del proyecto (3 semanas / 15 días hábiles),,,,,,,,,,,,,,,,,,,,,,
ID,Fase,Tarea,Responsable(s),Día inicio,Duración (días),Día fin,Horas estimadas,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15
1,Descubrimiento,"Investigación y síntesis (dataset, benchmark, entrevistas)",Equipo completo (D1+D2+D3),1,2,2,48,,,,,,,,,,,,,,,
2,Descubrimiento,Definición de los 3 pilares y principios de diseño,Equipo completo (D1+D2+D3),3,1,3,24,,,,,,,,,,,,,,,
3,Descubrimiento,Arquitectura de información y flujos de usuario,D1 (UX) + D3 (Contenido),4,2,5,32,,,,,,,,,,,,,,,
4,Descubrimiento,Exploración visual preliminar (moodboard y paleta),D2 (Visual),4,2,5,16,,,,,,,,,,,,,,,
5,Sistema Visual,"Sistema visual definitivo (paleta, tipografía, componentes)",D2 (Visual) + D3 (Contenido),6,2,7,32,,,,,,,,,,,,,,,
6,Prototipado,Wireframes de pantallas clave,D1 (UX) + D3 (Contenido),8,2,9,32,,,,,,,,,,,,,,,
7,Prototipado,Prototipo interactivo de alta fidelidad v1,D2 (Visual) + D1 (UX),10,1,10,16,,,,,,,,,,,,,,,
8,Validación,Testing con usuarios en mesas piloto reales,Equipo completo (D1+D2+D3),11,2,12,48,,,,,,,,,,,,,,,
9,Validación,Iteración final de interfaz según hallazgos,D2 (Visual) + D1 (UX),13,1,13,16,,,,,,,,,,,,,,,
10,Cierre,Documentación y especificaciones para desarrollo,D3 (Contenido),14,1,14,8,,,,,,,,,,,,,,,
11,Cierre,Presentación y entrega final,Equipo completo (D1+D2+D3),15,1,15,24,,,,,,,,,,,,,,,
,,TOTAL,,,,,296,,,,,,,,,,,,,,,
